Question,Response,Key,Averages,Medians,Other_scores,pred
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","no base case, as in a single return that does not include calling the function again. a static value to end at. <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",3.5,2.0,5.0,0.6733165979385376
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","Either omitting the base case, or writing the recursion step incorrectly so the it does not reach the base case can cause infinite recursion. <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.9016250371932983
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>",omitting the base case or writing the recursive call so that it does not converge upon the base case. <STOP>,"If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.8527413606643677
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","Either omitting the base case, or writing the recursion step incorrectly so that it does not converge on the base case <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.8718538284301758
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>",Infinite recursion may occur if no base case is defined or if the call is not varied. <STOP>,"If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",4.5,4.0,5.0,0.8253164291381836
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","Not having a base case, or building a recursion process that does not converge on the base case. <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.8834476470947266
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","Either omitting the base case, or writing the recursion step incorerectly <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.8865004777908325
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>",no base case or if the programmar does not define the base case as the simplest case and it never gets reached <STOP>,"If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.7329802513122559
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>",No easily reached base case and no base case at all <STOP>,"If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.6427731513977051
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","function is never allowed to reach the ""base case"" <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.6896624565124512
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>","it has no base case, or the base case is never met <STOP>","If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",5.0,5.0,5.0,0.7044886350631714
"When defining a recursive function, what are possible causes for infinite recursion? <STOP>",recursion refers to situations in which functions call themselves. <STOP> These types of functions are known as recursive functions. <STOP> That being said Infinite recursion occurs when the function is designed in such a way as to call it self forever without stopping possible causes <STOP>,"If the recursion step is defined incorrectly, or if the base case is not included. <STOP>",3.0,1.0,5.0,0.6627386808395386
What are the similarities between iteration and recursion? <STOP>,"Both involve a controlled repetition structures, and they both have a termination test. <STOP> Also both of them can loop forever. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9457666873931885
What are the similarities between iteration and recursion? <STOP>,"As discussed earlier, recursion may be used to process iterative actions. <STOP> Recursion is used for calculations where the answer can be described in a function that relates to itself. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,2.0,1.0,3.0,0.591909646987915
What are the similarities between iteration and recursion? <STOP>,Both iteration and recursion are based on control statements and involve repetition. <STOP> They can both also occur indefinitely. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.8795242309570312
What are the similarities between iteration and recursion? <STOP>,Both are based on a control statement <STOP> Iteration-repetition structure <STOP> Recursion-selection structure <STOP> Both involve repetition <STOP> Iteration-explicitly uses repetition structure <STOP> Recursion-repeated function calls <STOP> Both involve a termination test <STOP> Iteration-loop-termination test <STOP> Recursion-base case <STOP> Both gradually approach termination <STOP> Iteration-modifies counter until loop-termination test fails <STOP> Recursion-produces progressively simpler versions of problem <STOP> Both can occur indefinitely <STOP> Iteration-if loop-continuation condition never fails <STOP> Recursion-if recursion step does not simplify the problem <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.7913452386856079
What are the similarities between iteration and recursion? <STOP>,"Iteration and recursion have many similarities: both are based on a control statement, involve repetition, involve a termination test, gradually approach termination and can occur infinitely. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9047887325286865
What are the similarities between iteration and recursion? <STOP>,"Both rely on repetition, both have a base case, both can become an infinite loop. <STOP> Anything recursive can also be solved with iteration. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.8809131383895874
What are the similarities between iteration and recursion? <STOP>,"Both will repeat -LRB- loop -RRB- until a condition is met, and exit the loop. <STOP> Both are capable of entering an infinite loop. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,4.0,3.0,5.0,0.8507953882217407
What are the similarities between iteration and recursion? <STOP>,anything you can do iterativly you can do recursively <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.0,2.0,4.0,0.7012121677398682
What are the similarities between iteration and recursion? <STOP>,Both are repetative and both have a end test. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,4.5,4.0,5.0,0.8609812259674072
What are the similarities between iteration and recursion? <STOP>,"Incorrectly writing either can result in infinite loops, both perform the same task over and over. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.5,3.0,4.0,0.8241080045700073
What are the similarities between iteration and recursion? <STOP>,Both are based on a control statement. <STOP> Both involve repetition. <STOP> Both involve a termination test. <STOP> Both gradually approach termination. <STOP> Both can occur infinitely. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9415557384490967
What are the similarities between iteration and recursion? <STOP>,"Both are based on a control statement, Both involve repetition, Both involve a termination test, Both gradually approach termination, Both can occur infinitely <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9443995952606201
What are the similarities between iteration and recursion? <STOP>,not answered <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,0.0,0.0,0.0,0.40889525413513184
What are the similarities between iteration and recursion? <STOP>,anything you can do recursively you can do iteratively <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.0,2.0,4.0,0.7029381990432739
What are the similarities between iteration and recursion? <STOP>,"Many problems can be solved by both iteration and recursion, and either may go into a condition of infinite execution if a termination test is omitted. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.5,2.0,5.0,0.7161757946014404
What are the similarities between iteration and recursion? <STOP>,"Iteration and recursion both use repetition and perform several simple operations and algorithms successively until they reach a certain limit. <STOP> So both involve a termination test to find that limit and both slowly approach that termination limit. <STOP> Both are based on a control statement as well. <STOP> If coded poorly, both can continue on for forever until the compiler or the computer either locks up, shuts down or halts the operation. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.8054800033569336
What are the similarities between iteration and recursion? <STOP>,"both based on control statement, involve repetition, and involve a termination test within loops <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.8212482929229736
What are the similarities between iteration and recursion? <STOP>,they are methods of repeating the same task. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,2.0,1.0,3.0,0.8191615343093872
What are the similarities between iteration and recursion? <STOP>,Both involve a termination test. <STOP> They use a control statement and repition to solve the problem. <STOP> They can also result in an infinite loop. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.8153704404830933
What are the similarities between iteration and recursion? <STOP>,"based on a control statement, involve repetition, involve a termination test. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.729987621307373
What are the similarities between iteration and recursion? <STOP>,Both are bases on a control statement. <STOP> Both involve repetition. <STOP> Both involve a termination test. <STOP> Both gradually approach termination. <STOP> Both can occur infinitely. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9425792694091797
What are the similarities between iteration and recursion? <STOP>,"both based on a control statement, both involve repitition, both involve a termination test, both gradually approach termination, both can potentially occur infinetly. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.903266191482544
What are the similarities between iteration and recursion? <STOP>,"they are both based on a control statement, both involve repetition, both involve a termination case, both graduatlly approach that termination case, and both can occur infinitely <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.946884274482727
What are the similarities between iteration and recursion? <STOP>,"They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9493168592453003
What are the similarities between iteration and recursion? <STOP>,"Both are based on a control statement; both gradually approach termination ending with a termination test; both involve repetition, and can both repeat infinitely if their termination requirements are not met. <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9354710578918457
What are the similarities between iteration and recursion? <STOP>,"both are based on a control statement, involve repetition and involve a termination test. both gradually approach termination, both can occur infinitely <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.9330899715423584
What are the similarities between iteration and recursion? <STOP>,they are used to solve the same type of problems. they do a task over and over again until a cirtain conditional statement is reached -LRB- its called the base case in recursion -RRB- . <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.5,3.0,4.0,0.6652408838272095
What are the similarities between iteration and recursion? <STOP>,Based on control statement; involve repetition; involve a terminal test; both can occur infinitly <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.8674089908599854
What are the similarities between iteration and recursion? <STOP>,"repetition, termination test, eventually terminate, occur infinately <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,5.0,5.0,5.0,0.80678391456604
What are the similarities between iteration and recursion? <STOP>,both need to have some kind of base case to tell when the loop needs to stop. <STOP>,They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.0,3.0,3.0,0.670507550239563
What are the similarities between iteration and recursion? <STOP>,"they both are able to do repetiive tasks. however recurisve calls itself with different parameters and defines and exit clause that is guaranteeed to be reached. <STOP> Iterative includes a loop which iterates a pre-determined number of times, or checks for an exit clause every time through <STOP>",They both involve repetition; they both have termination tests; they can both occur infinitely. <STOP>,3.5,2.0,5.0,0.806658148765564
What are the two different ways of specifying the length of an array? <STOP>,int n [10]; or or array of 10 integers and int n [arraySize] or or where arraySize is some positive integer defined by the user <STOP>,"In the array declaration, or by using an initializer list. <STOP>",4.0,3.0,5.0,0.6932973861694336
What are the two different ways of specifying the length of an array? <STOP>,by either inputing the different elements in the array at coding or giving the array specifacations as to the size of the array. it is also possible when giving it specifacations to tell the array to grow as needed. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",4.0,3.0,5.0,0.6996105909347534
What are the two different ways of specifying the length of an array? <STOP>,You can initialize and array by using an initializer list in its declaration or by initializing its size with a constant variable. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.9088220596313477
What are the two different ways of specifying the length of an array? <STOP>,Pass the length along with the array or use a vector. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",3.0,2.0,4.0,0.7259335517883301
What are the two different ways of specifying the length of an array? <STOP>,"One way is to declare a size of the array using a variable that is equal to an integer. <STOP> The other way, if the size is omitted in the declaration, the compiler determines the size of the array based on the size of the initializer list. <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.818115234375
What are the two different ways of specifying the length of an array? <STOP>,"In the declaration -LRB- int array [x] -RRB- or with an initilizer -LRB- int array [] equals 0,1,2, etc. <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.8613300323486328
What are the two different ways of specifying the length of an array? <STOP>,"1. Declare the length of the array -LRB- int array [10]; -RRB- <STOP> 2. Initialize the array -LRB- int array [] equals 0, 1, 2, 3; or or compiler will assume size of 4 -RRB- <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.7374216318130493
What are the two different ways of specifying the length of an array? <STOP>,statically and dynamically <STOP>,"In the array declaration, or by using an initializer list. <STOP>",2.5,2.0,3.0,0.6217477321624756
What are the two different ways of specifying the length of an array? <STOP>,Explicitly int array [10]; or by variable const int size equals 10; int array [size]; <STOP>,"In the array declaration, or by using an initializer list. <STOP>",4.0,3.0,5.0,0.730567216873169
What are the two different ways of specifying the length of an array? <STOP>,"Array lengths can be explicitly specified by inputing the number of elements between the brackets [] during declaration, or implicitly by including an initializer list WITHOUT specifying a number between [], the compiler will automatically declare the array with the proper number of elements needed for the list. <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.7930920124053955
What are the two different ways of specifying the length of an array? <STOP>,Specify an array s size with a constant variable. <STOP> And setting array elements with calculations. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",3.5,2.0,5.0,0.75372314453125
What are the two different ways of specifying the length of an array? <STOP>,"statically, using and dynamically, using [] <STOP>","In the array declaration, or by using an initializer list. <STOP>",4.0,4.0,4.0,0.710893988609314
What are the two different ways of specifying the length of an array? <STOP>,"define it as array [5] or array [1,2,3,4,5] <STOP>","In the array declaration, or by using an initializer list. <STOP>",4.5,4.0,5.0,0.7592236995697021
What are the two different ways of specifying the length of an array? <STOP>,Static and dynamic. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",2.5,2.0,3.0,0.5895360708236694
What are the two different ways of specifying the length of an array? <STOP>,manually inside the brackets or automatically via an initializer list <STOP>,"In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.8042615652084351
What are the two different ways of specifying the length of an array? <STOP>,"You can use an initializer list, or simply tell the compiler how many elements you want in the array. <STOP> For an Initializer list: int a [] equals 10, 2, 3, 4, 5; <STOP> For an elemental declaration: int b [5]; <STOP> Both arrays have 5 elements in them, but array a is already initialized. <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.8210252523422241
What are the two different ways of specifying the length of an array? <STOP>,"In a string you can specify with the strlen -LRB- arrayname -RRB- command. <STOP> This gets the length of the string. <STOP> Another way is with integers where you initiate the size from the start, ex array [40] specifying a possible length of up to 40. Then it is passed by an object the actual ammout in the array. <STOP> Another way is to declare it in an initializing program. <STOP>","In the array declaration, or by using an initializer list. <STOP>",4.5,4.0,5.0,0.7328096628189087
What are the two different ways of specifying the length of an array? <STOP>,"Implicit, namely when you give it values, like 1,2,3,4,5,6,7,8,9, at which the compiler will automatically give this a size. <STOP> Static, during the declaration. <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.7198117971420288
What are the two different ways of specifying the length of an array? <STOP>,"Supply an integer inside the brackets or the compiler counts the number of elements in the initializer list. int n [5]; int n [] equals 1,2,3,4,5 <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.7596334218978882
What are the two different ways of specifying the length of an array? <STOP>,either initializing the array with a specific length or initializing an array while declaring its contents. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.8850076198577881
What are the two different ways of specifying the length of an array? <STOP>,within the brackets or by using an initializer list. <STOP>,"In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.8766906261444092
What are the two different ways of specifying the length of an array? <STOP>,specify the number of elements in the array declaration with a constant or using a constant variable for future scalability <STOP>,"In the array declaration, or by using an initializer list. <STOP>",4.0,3.0,5.0,0.753978967666626
What are the two different ways of specifying the length of an array? <STOP>,with a number and with a variable <STOP>,"In the array declaration, or by using an initializer list. <STOP>",3.0,3.0,3.0,0.6489288806915283
What are the two different ways of specifying the length of an array? <STOP>,"explicitly, by declaring it in brackets -LRB- i. e. int array [50]; -RRB- and implicitly, by initializing several values -LRB- i. e. int array [] equals 1, 2, 3; -RRB- <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.7753456830978394
What are the two different ways of specifying the length of an array? <STOP>,"one way of specifying of array is A [10]; other way of specifying array is a [arraysize] equals [1,2,3,4,5,6,7,8,9,10 <STOP>","In the array declaration, or by using an initializer list. <STOP>",4.5,4.0,5.0,0.6886301040649414
What are the two different ways of specifying the length of an array? <STOP>,1-Initializing an array in a declaration with an initializer list <STOP> 2-Specifying an array s size with a constant variable <STOP>,"In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.8958488702774048
What are the two different ways of specifying the length of an array? <STOP>,"Initializing the size in the brackets: int a [100]; <STOP> Initializing the length by assigning variables: int a [] equals 1,2,3; <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.75773024559021
What are the two different ways of specifying the length of an array? <STOP>,user defined value or by the number of elements in initializer list <STOP>,"In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.768328070640564
What are the two different ways of specifying the length of an array? <STOP>,"you can assign the size of it inside the brackets when you declare the array [3], or you can have it set by how many items you set the array equal to 1,2,3 <STOP>","In the array declaration, or by using an initializer list. <STOP>",5.0,5.0,5.0,0.7246071100234985
What are the two different ways of specifying the length of an array? <STOP>,"use an arraylist, or have your program ask the array how many elements it has. <STOP> As an obj it it should have member length that is the number of slots it has. <STOP>","In the array declaration, or by using an initializer list. <STOP>",4.0,3.0,5.0,0.7041696310043335
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"strings that are used in an char array are much easier to manipulate than as a string object, because each character is stored separately rather than as a whole <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.5,1.0,4.0,0.628142237663269
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"the type string uses less storage and you have to change the string all at once. with an array of characters you can make permutations of words using the characters stored in the array, without needing to actually access and change the variables. with an array of characters you can just change how they are accessed. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.0,1.0,5.0,0.6541051864624023
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"Unlike in a string declared using type string, in a string declared using an array of characters the programmer must provide the null terminating character and must ensure the array is large enough to hold the string and null terminating character. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.8286570310592651
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"All strings represented by character arrays end with the null character. <STOP> You declare an object of type string just like any other type, for example: string s; <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.837639570236206
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"By using an array of characters, one can store and manipulate the strings rather than just having a type string variable. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.5,1.0,4.0,0.7413702011108398
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,type string is an array of chars that will make an array of single letter characters while an array of strings will be an actual array of words -LRB- or an array of char arrays -RRB- <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.0,0.0,4.0,0.7195160388946533
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"They are basically the same, however, a string ends with a null character, denoting the end of the string -LRB- and the size -RRB- . <STOP> A char array has potential to be any size, so it must be declared or limited. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.5,2.0,5.0,0.796866774559021
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,string is a class in the standard library and has method that modify it. <STOP> Whereas the char array is on able to be modifie by the user. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,4.0,4.0,4.0,0.628507137298584
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"By using an array of characters, you are limited to the size of the array of characters. <STOP> By declaring by type the end of the string is acknowledged by white space. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.5,3.0,4.0,0.8064868450164795
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"The data class type string are designed to handle character data, and has many functions built into the class library to deal with them. <STOP> An array of characters however is subject to all the same rules of any other array with no real additional functionality. <STOP> Another difference is that the string class deals with the null character implicitly, unlike an array of characters, which must handle the null character explicitly. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.711931586265564
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,string declared used in an array of characters contains each character in the array and a special string-termination character called the null character versus the type string. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.8794450759887695
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,A char array reads a string as each individual character. <STOP> A string literal array reads the entire string. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.0,2.0,4.0,0.6870856285095215
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,array of characters can only hold as many characters as the array size and strings are not that limited. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,4.0,4.0,4.0,0.7459123134613037
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"Stings can only be modified by functions of the String class, an array of characters can be modified by the user <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.5,3.0,4.0,0.6797909736633301
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"if by type string, the array contains an additional terminating null character <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,4.0,3.0,5.0,0.891355037689209
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,The array of characters has a null character 0 at the end of the array to signify the array 's end. <STOP> The string does not have this. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.9099339246749878
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,strings with type string are just that. <STOP> Strings. <STOP> They are not part of an array list at all where as one declared by an array is actually an array of characters able to be pointed and detected. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.0,2.0,4.0,0.7107125520706177
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"the array of characters has a set length, while the type string has virtually unlimited length. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,4.0,4.0,4.0,0.7444349527359009
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,Char array Individual letters can be accessed directly with array subscript notation. <STOP> String array array subscript will return the entire string. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.0,1.0,3.0,0.6431375741958618
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,array of characters need a termination character as well as size specification whether its explicit or implicit. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.8167921304702759
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,when using an array individual characters can be accessed and manipulated. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.5,1.0,4.0,0.7585982084274292
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,strings declared using an array of characters could result in data loss if character array not initialized large enough. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,4.0,4.0,4.0,0.7811601161956787
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"an array is passed by reference therefore if an array of characters is changed, the memory is changed not just the variable <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.5,3.0,4.0,0.6828498840332031
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"the type string has several built-in functions not available when using a char array, but the individual characters in an array or more directly accessible than the characters in a string type string. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.5,3.0,4.0,0.6877057552337646
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"declaring a string, it includes white spaces but declaring a array of character does not include white spaces <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,1.5,0.0,3.0,0.7121520042419434
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"an array of characters has one element a string doesnt have. it is the termination element, or ""null"" <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,5.0,5.0,5.0,0.8749260902404785
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,Strings declared using the type string can vary in length. <STOP> Strings declared using an array of characters can not extend past the array length. <STOP>,The strings declared using an array of characters have a null element added at the end of the array. <STOP>,4.0,4.0,4.0,0.7516858577728271
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"cant modify individual characters of a type string array, character type array can modify individual characters <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.5,1.0,4.0,0.7068151235580444
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"the type string is a class and is safer, while the other is just an array of characters. <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,3.5,3.0,4.0,0.6707308292388916
What is the main difference between strings declared using the type string versus strings declared using an array of characters? <STOP>,"array it is the collection of similar data types ex: int a [10] ten indicates the size of array. <STOP> [] is index of array, we can give only integer values to array of a. where as string mean collection of group of characters. string declarations have a datatype usually causes storage to be allocated in memory that is capable of holding some predetermined number of symbols. <STOP> However Arrays can be declared to contain values of any non reference data type. <STOP> Multiple arrarys of the same type <STOP>",The strings declared using an array of characters have a null element added at the end of the array. <STOP>,2.5,1.0,4.0,0.6366366147994995
How are arrays passed to functions? <STOP>,by reference only <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.8945565223693848
How are arrays passed to functions? <STOP>,a reference pointer to an element in the array. <STOP>,by reference. <STOP>,4.5,4.0,5.0,0.771957278251648
How are arrays passed to functions? <STOP>,Arrays are passed to functions by reference. <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.7754683494567871
How are arrays passed to functions? <STOP>,Arrays are passed by reference <STOP> Individual array elements passed by value <STOP> Functions that take arrays as arguments <STOP> Function prototypes may include parameter names const array parameters <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.6691378355026245
How are arrays passed to functions? <STOP>,Arrays are passed by reference. <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.8086493015289307
How are arrays passed to functions? <STOP>,"you must pass the array and its size to the function. <STOP> Ex. function -LRB- array, size -RRB- ; <STOP>",by reference. <STOP>,4.0,4.0,4.0,0.5500354766845703
How are arrays passed to functions? <STOP>,"Usually the same way you pass anything else ... you do not have to specify the length of a char array, just pass it to the function by sending the name of the array. <STOP> Example: char str [20]; isPalindrome -LRB- str -RRB- ; or or this sends the char array to the function isPalindrome. <STOP> Otherwise, would need to send the length of the array as well. <STOP>",by reference. <STOP>,3.5,3.0,4.0,0.5279636383056641
How are arrays passed to functions? <STOP>,you pass a pointer to the first item and also pass the size. <STOP>,by reference. <STOP>,3.5,4.0,3.0,0.6608740091323853
How are arrays passed to functions? <STOP>,By reference. <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.9959306716918945
How are arrays passed to functions? <STOP>,"In two parts, the array itself, and it is size, so that the function it is being passed to can avoid out of bounds errors. <STOP>",by reference. <STOP>,4.0,4.0,4.0,0.6050691604614258
How are arrays passed to functions? <STOP>,Specify array name without brackets. <STOP> Array size is normally passed as another argument so the function can process the specific number of elements in the array. <STOP> Arrays are passed by reference. <STOP> Individual array elements passed by value. <STOP> Functions that take arrays as arguments. <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.6036750078201294
How are arrays passed to functions? <STOP>,Arrays are passed by reference. <STOP>,by reference. <STOP>,5.0,5.0,5.0,0.8086493015289307
